date,state,death
2/21/2021,MN,6432
2/21/2021,MO,7715
2/21/2021,MP,2
2/21/2021,MS,6553
2/21/2021,MT,1342
2/21/2021,NC,10926
2/21/2021,ND,1465
2/21/2021,NE,2047
2/21/2021,NH,1154
2/21/2021,NJ,22858
2/21/2021,NM,3624
2/21/2021,NV,4872
2/21/2021,NY,37851
2/21/2021,OH,16816
2/21/2021,OK,4181
2/21/2021,OR,2154
2/21/2021,PA,23597
2/21/2021,PR,1979
2/21/2021,RI,2463
2/21/2021,SC,8324
2/21/2021,SD,1863
2/21/2021,TN,11133
2/21/2021,TX,41343
2/21/2021,UT,1852
2/21/2021,VA,7331
2/21/2021,VI,25
2/21/2021,VT,197
2/21/2021,WA,4822
2/21/2021,WI,6871
2/21/2021,WV,2261
2/21/2021,WY,662
2/20/2021,AK,289
2/20/2021,AL,9590
2/20/2021,AR,5348
2/20/2021,AS,0
2/20/2021,AZ,15480
2/20/2021,CA,48825
2/20/2021,CO,5887
2/20/2021,CT,7523
2/20/2021,DC,994
2/20/2021,DE,1366
2/20/2021,FL,30339
2/20/2021,GA,16742
2/20/2021,GU,130
2/20/2021,HI,430
2/20/2021,IA,5336
2/20/2021,ID,1826
2/20/2021,IL,22426
2/20/2021,IN,12336
2/20/2021,KS,4614
2/20/2021,KY,4426
2/20/2021,LA,9440
2/20/2021,MA,15779
2/20/2021,MD,7697
2/20/2021,ME,658
2/20/2021,MI,16342
2/20/2021,MN,6423
2/20/2021,MO,7715
2/20/2021,MP,2
2/20/2021,MS,6553
2/20/2021,MT,1341
2/20/2021,NC,10896
2/20/2021,ND,1465
2/20/2021,NE,2047
2/20/2021,NH,1153
2/20/2021,NJ,22834
2/20/2021,NM,3610
2/20/2021,NV,4868
2/20/2021,NY,37776
2/20/2021,OH,16749
2/20/2021,OK,4155
2/20/2021,OR,2149
2/20/2021,PA,23570
2/20/2021,PR,1957
2/20/2021,RI,2462
2/20/2021,SC,8256
2/20/2021,SD,1859
2/20/2021,TN,11115
2/20/2021,TX,41213
2/20/2021,UT,1842
2/20/2021,VA,7197
2/20/2021,VI,25
2/20/2021,VT,196
2/20/2021,WA,4822
2/20/2021,WI,6871
2/20/2021,WV,2254
2/20/2021,WY,662
2/19/2021,AK,289
2/19/2021,AL,9573
2/19/2021,AR,5336
2/19/2021,AS,0
2/19/2021,AZ,15421
2/19/2021,CA,48344
2/19/2021,CO,5878
